date,bullish_pct,bearish_pct,neutral_pct,bull_bear_spread
2022-08-04,30.0,38.0,32.0,-8.0
2022-08-18,33.0,37.0,30.0,-4.0
2022-09-01,27.0,43.0,30.0,-16.0
2022-09-15,18.0,54.0,28.0,-36.0
2022-09-22,23.0,52.9,24.1,-29.9
2022-10-06,20.0,57.0,23.0,-37.0
2022-10-20,22.0,56.0,22.0,-34.0
2022-11-03,26.0,45.0,29.0,-19.0
2022-11-17,28.0,41.0,31.0,-13.0
2022-12-01,24.0,48.0,28.0,-24.0
2022-12-15,26.0,44.0,30.0,-18.0
2022-12-29,20.5,52.3,27.2,-31.8
2023-01-12,31.0,40.0,29.0,-9.0
2023-01-26,38.0,32.0,30.0,6.0
2023-02-09,37.0,32.0,31.0,5.0
2023-02-23,29.0,37.0,34.0,-8.0
2023-03-09,20.0,48.0,32.0,-28.0
2023-03-23,21.0,49.0,30.0,-28.0
2023-04-06,31.0,35.0,34.0,-4.0
2023-04-20,32.0,34.0,34.0,-2.0
2023-05-04,28.0,38.0,34.0,-10.0
2023-05-18,25.0,44.0,31.0,-19.0
2023-06-01,33.0,30.0,37.0,3.0
2023-06-15,45.0,23.0,32.0,22.0
2023-06-29,49.0,23.0,28.0,26.0
2023-07-13,51.0,22.0,27.0,29.0
2023-07-27,44.0,25.0,31.0,19.0
2023-08-10,36.0,29.0,35.0,7.0
2023-08-24,33.0,34.0,33.0,-1.0
2023-09-07,34.0,28.0,38.0,6.0
2023-09-21,27.0,40.0,33.0,-13.0
2023-10-05,28.0,41.0,31.0,-13.0
2023-10-19,30.0,43.0,27.0,-13.0
2023-11-02,24.0,50.0,26.0,-26.0
2023-11-16,43.0,28.0,29.0,15.0
2023-11-30,48.0,22.0,30.0,26.0
2023-12-14,51.0,19.0,30.0,32.0
2023-12-28,46.0,22.0,32.0,24.0
2024-01-11,49.0,24.0,27.0,25.0
2024-01-25,39.3,26.1,34.6,13.2
2024-02-08,42.0,25.0,33.0,17.0
2024-02-22,46.0,23.0,31.0,23.0
2024-03-07,51.0,22.0,27.0,29.0
2024-03-21,48.0,24.0,28.0,24.0
2024-04-04,39.0,28.0,33.0,11.0
2024-04-18,32.0,35.0,33.0,-3.0
2024-05-02,35.0,30.0,35.0,5.0
2024-05-16,39.0,28.0,33.0,11.0
2024-05-30,44.0,24.0,32.0,20.0
2024-06-13,39.0,28.0,33.0,11.0
2024-06-27,36.0,30.0,34.0,6.0
2024-07-11,43.0,26.0,31.0,17.0
2024-07-25,41.0,27.0,32.0,14.0
2024-08-08,35.0,32.0,33.0,3.0
2024-08-22,32.0,36.0,32.0,-4.0
2024-09-05,35.0,30.0,35.0,5.0
2024-09-19,40.0,26.0,34.0,14.0
2024-10-03,45.0,24.0,31.0,21.0
2024-10-17,47.0,23.0,30.0,24.0
2024-10-31,42.0,28.0,30.0,14.0
2024-11-14,49.8,25.0,25.2,24.8
2024-11-28,48.0,26.0,26.0,22.0
2024-12-12,46.0,27.0,27.0,19.0
2024-12-26,43.0,29.0,28.0,14.0
2025-01-09,44.0,28.0,28.0,16.0
2025-01-23,46.0,26.0,28.0,20.0
2025-02-06,38.0,32.0,30.0,6.0
2025-02-20,28.0,45.0,27.0,-17.0
2025-02-27,19.6,60.6,19.8,-41.0
2025-03-06,22.0,57.0,21.0,-35.0
2025-03-13,25.0,56.0,19.0,-31.0
2025-03-20,26.0,58.1,15.9,-32.1
2025-04-02,23.0,61.9,15.1,-38.9
2025-04-17,28.0,52.0,20.0,-24.0
2025-05-01,32.0,45.0,23.0,-13.0
2025-05-15,36.0,38.0,26.0,-2.0
2025-05-29,40.0,32.0,28.0,8.0
2025-06-12,42.0,30.0,28.0,12.0
2025-06-26,44.0,28.0,28.0,16.0
2025-07-10,43.0,29.0,28.0,14.0
2025-07-24,45.0,27.0,28.0,18.0
2025-08-06,35.0,43.2,21.8,-8.2
2025-08-21,40.0,35.0,25.0,5.0
2025-09-04,42.0,32.0,26.0,10.0
2025-09-18,45.0,28.0,27.0,17.0
2025-10-02,50.0,24.0,26.0,26.0
2025-10-16,48.0,26.0,26.0,22.0
2025-10-30,44.0,30.0,26.0,14.0
2025-11-13,42.0,32.0,26.0,10.0
2025-11-27,38.0,36.0,26.0,2.0
2025-12-11,40.0,34.0,26.0,6.0
2025-12-25,42.0,31.0,27.0,11.0
2026-01-09,45.0,29.0,26.0,16.0
2026-01-16,49.5,28.2,22.3,21.3
