date,protocol,chain,pool,apy,tvl_usd
2025-06-01,compound-v3,arbitrum,USDC,3.40,100000000
2025-07-01,compound-v3,arbitrum,USDC,3.38,102000000
2025-08-01,compound-v3,arbitrum,USDC,3.35,103000000
2025-09-01,compound-v3,arbitrum,USDC,3.30,105000000
2025-10-01,compound-v3,arbitrum,USDC,3.28,107000000
2025-11-01,compound-v3,arbitrum,USDC,3.25,108000000
2025-12-01,compound-v3,arbitrum,USDC,3.20,110000000
2026-01-01,compound-v3,arbitrum,USDC,3.25,110500000
2026-01-15,compound-v3,arbitrum,USDC,3.28,111000000
2026-01-22,compound-v3,arbitrum,USDC,3.30,111000000
2024-01-01,sky-ssr,ethereum,USDS,5.00,2500000000
2024-02-01,sky-ssr,ethereum,USDS,5.00,2450000000
2024-03-10,sky-ssr,ethereum,USDS,15.00,2500000000
2024-03-26,sky-ssr,ethereum,USDS,14.00,2300000000
2024-04-22,sky-ssr,ethereum,USDS,11.00,2100000000
2024-05-18,sky-ssr,ethereum,USDS,8.00,2000000000
2024-06-01,sky-ssr,ethereum,USDS,8.00,1950000000
2024-07-11,sky-ssr,ethereum,USDS,7.00,1900000000
2024-08-01,sky-ssr,ethereum,USDS,7.00,1850000000
2024-09-18,sky-ssr,ethereum,USDS,6.00,1800000000
2024-10-04,sky-ssr,ethereum,USDS,6.50,2000000000
2024-11-01,sky-ssr,ethereum,USDS,6.50,2050000000
2024-12-06,sky-ssr,ethereum,USDS,12.50,2100000000
2025-01-01,sky-ssr,ethereum,USDS,12.50,2050000000
2025-01-23,sky-ssr,ethereum,USDS,12.25,2000000000
2025-02-11,sky-ssr,ethereum,USDS,8.75,2000000000
2025-03-01,sky-ssr,ethereum,USDS,8.50,1980000000
2025-04-01,sky-ssr,ethereum,USDS,8.25,1960000000
2025-05-01,sky-ssr,ethereum,USDS,8.00,1940000000
2025-06-01,sky-ssr,ethereum,USDS,8.00,1920000000
2025-07-01,sky-ssr,ethereum,USDS,8.00,1900000000
2025-08-01,sky-ssr,ethereum,USDS,8.00,1950000000
2025-09-01,sky-ssr,ethereum,USDS,8.00,1980000000
2025-10-01,sky-ssr,ethereum,USDS,8.00,2000000000
2025-11-01,sky-ssr,ethereum,USDS,8.00,2020000000
2025-12-01,sky-ssr,ethereum,USDS,8.00,2000000000
2026-01-01,sky-ssr,ethereum,USDS,8.00,2000000000
2026-01-15,sky-ssr,ethereum,USDS,8.00,1980000000
2026-01-22,sky-ssr,ethereum,USDS,8.00,2000000000
